TONI,toni masukin wna 
TONI,toni corona ngadepin media provinsi kacau ngilang media
TONI,toni plin plan banget
TONI,tidak kerja lu mikir ga toni hidup lu enak banget 
TONI,toni enak psbb uang banyak ga pusing kerja duduk duduk doang
TONI,kagak mikirin masyarakat kerja kontrak punya dana buat biayain buat toni dana bantu
TONI,drama toni tamat film ftv selesai episode 
TONI,otak lu ga normal toni
TONI,toni makan uang rakyat 
TONI,degelan lu toni covid prank doang heran
TONI,toni gilir nilai ekonomi kewirausahaan
TONI,psbb biar bantu pusat cair toni penting cfd
TONI,ancol mulu urusin toni noh urusin ngindar terus
TONI,uang otak toni uang
TONI,duit kemanain toni masuk saku 
TONI,pantes psbb dki biar bayar denda uang buat toni
TONI,toni bego 
TONI,ketawa takut dosa 
TONI,keburu modar 
TONI,yain biar cepat 
PUTRI,putri tutup berita corons 
PUTRI,virus maenin gilir kena putri kelimpungan buat nyari obat kemarin santi lu putri
PUTRI,banding ekononomi banding putri mentingin ekonomi negara 
PUTRI,putri sok sok berfikir korban rakyat cari muka biar simpatik 
PUTRI,putri lu tidur mulu 
PUTRI,bingung statement putri sakit pakai masker sakit punya sadar buat pakai masker trus menkes larang buat pake masker 
PUTRI,putri ga kerja kena uu ite
PUTRI,putri lot banget jakarta asa pulau jawa nyebar
PUTRI,putri bego peliara 
PUTRI,putri takut waspada santai jokowi sadar nenangin ngingetin suruh waspada suruh tenang doang kesanya bodo kudu tangan serius cepat lambat lama tular santai waspada 
PUTRI,putri kasih obat anti malaria kemarin berita putri ohiya lupa obat suruh beli uang terus
PUTRI,putri sehat lucknut 
PUTRI,bilang nyari duit lu putri sok sok ngurus pandemi corona 
PUTRI,biar kerja putri ga kerja diam diam ngambil uang rakyat 
PUTRI,tidak butuh tuan butuh putri kerjannya bual ngabisin uang 
PUTRI,ga penting 
PUTRI,kerja kaya sebar gajelas lu gaada kerja putri
PUTRI,rubah ganti putri
PUTRI,kursi mu dunia kursi mu akhirat 
PUTRI,putri korupsi astaga 
JULIA,julia korupsi indonesia maju 
JULIA,bilang alas biar pajakin game steam sepeda bpjs naik ga bener julia tolong bantu urus
JULIA,bilang ibu hutang kali gaya ibuk ma karambia 
JULIA,julia makan bom uang puyeng 
JULIA,pajak bayar mudah transparan rakyat bayar duit lu telan julia
JULIA,bawa dunia julia buat nutupin becus lu corona gembor ekonomi indonesia turun hancur 
JULIA,ngutang julia enak tinggal ngutang dapet gaji rakyat sengsara mikirin anak bini negara hutang rakyat sensara 
JULIA,gausah kambing hitam ekonomi dunia ekonomi endonesia lo pimpin ekonomi julia ga becus 
JULIA,bilang julia ngutang duit dapet ngutang kemaren abis lari korupsi entar tangkep bilang ga sengaja
JULIA,julia kagak becus hutang mulu uang masuk saku lu negara ga maju merosot 
JULIA,ga peduli indo hutang salah lu julia
JULIA,uang negara penting pribadi julia
JULIA,bilang bayar pajak gausah muter muter ngomong julia
JULIA,ngomong mulu ga lu julia nambah hutang negara mulu 
JULIA,jadi julia utang beda dateng solusi tahap bayar hutang kasih jempol ubah nyata utang julia jabat ga bener utang negara 
JULIA,julia ga becus banget
JULIA,utang utang utang mundur julia
JULIA,ayo lomba terbit surat utang indonesia kaya raya kampanye doang 
JULIA,indonesia masuk negara maju 
JULIA,julia tukang bohong 
BUDI,budi ingkar janji lu 
BUDI,informasi budi ga hadir forum pbb
BUDI,corona buat main main sama budi negeri bebedah 
BUDI,tukang bohong lu budi
BUDI,bener stengah stengah rakyat ngeyel budi perintah ga heran sekolah lu 
BUDI,khawatir budi bicara janji suka ga bener
BUDI,budi lu punya wakil ga wakil lu ngapain lama ga tanggung jawab hadap rakyat dosa 
BUDI,tolong wna izinin masuk mulu akibat ulah budi pelak
BUDI,gelap bener janji lu budi plis jangan prank rakyat mulu 
BUDI,solat ga gelar konser lo gelar pade budi
BUDI,mall buka gpp masjid yaahh krna ga duit duit masuk kantong budi ferguso 
BUDI,parah istiqlal masjid ga dibolehin gilir bioskop dibolehin benar akhir zaman ngga budi kafir lu 
BUDI,ketawa bansos ga denda psbb naikin budi gaji uang ngga bener 
BUDI,lari uang denda psbb denda bisa jadi nnti psbb mulu masuk saku budi
BUDI,psbb udahan makan biar ekonomi lancar psbb biar rakyat miskis bayar denda trus budi putri toni kaya uang denda 
BUDI,budi vaksin duluan 
BUDI,budi bodoh banget 
BUDI,baca komen temen kuliah 
BUDI,gerak budi lama bat 
BUDI,budi gerak tidak cepat
PUTRA,putra gajelas negara rakyat wajar netizen
PUTRA,lu mending tobat putra lu mati konyol 
PUTRA,putra numpang nama sama makan gaji haram 
PUTRA,mending ga becus jadi putra ga kerja 
PUTRA,ga takut neraka kali gaada tanggung jawaba sama sekali lama jabat jadi putra
PUTRA,koruptor lu putra
PUTRA,maju negara putra korupsi 
PUTRA,punya putra haji ga gaada tanggung jawab
PUTRA,putra ga diam diam gaji tetep makan uang 
PUTRA,putra korupsi lu
PUTRA,hati hati catat malaikat lama ga dampak pimpin putra
PUTRA,lu sadar putra korupsi 
PUTRA,coba cek tabung putra tu uang sembako masuk 
PUTRA,putra ga kerja 
PUTRA,bener banget banget putra korupsi 
PUTRA,jadi koruptor lu lama lama putra
PUTRA,heran ga gaji koruptor putra
PUTRA,serah lu putra ga kerja nanggung dosa lu 
PUTRA,putra ga becus 
PUTRA,uang rakyat jadi putra numpang nama 
